Folder,Total Files,Total Duration (sec),Target Samples,"Samples [0, 1)","Samples [1, 5)","Samples [5, 10)","Samples [10, 15)","Samples [15, 20)","Samples [20, 25)","Samples [25, 30)",Samples [30+)
collect/TalkingBook/Shamajbigyan 1st Paper for Class 11 & 12 - Chapter 6 MP3,20,527.15,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Shamajbigyan 1st Paper for Class 11 & 12 - Chapter 7 MP3,20,534.06,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Shamajbigyan 1st Paper for Class 11 & 12 - Chapter 8 MP3,56,1451.63,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Shamajbigyan 1st Paper for Class 11 & 12 - Chapter 9 MP3,74,2055.87,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Shamajbigyan 1st Paper for Class 11 & 12 - Cover Page MP3,1,30,1,0,0,0,0,0,0,0,1
collect/TalkingBook/Shamajkarmo 1st Paper for Class 11 & 12 - Chapter 2,33,877.29,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Shamajkarmo 1st Paper for Class 11 & 12 - Chapter 3,47,1207.8,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Shamajkarmo 1st Paper for Class 11 & 12 - Chapter 4,72,1909.62,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Shamajkarmo 1st Paper for Class 11 & 12 - Chapter 5,64,1698.44,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajkarmo 1st Paper for Class 11 & 12 - Chapter 6,159,4206.7,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajkarmo 1st Paper for Class 11 & 12 - Chapter 7,82,2297.54,2,0,0,0,1,0,0,0,1
collect/TalkingBook/Shamajkarmo 1st Paper for Class 11 & 12 - Chapter 8,27,657.77,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajkarmo 1st Paper for Class 11 & 12 -Chapter 1,27,721.74,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Shamajkarmo 1st Paper for Class 11 & 12 cover page,1,18.18,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Shamajkarmo Part 2 Class 11 & 12 Chapter 01 MP3,34,938.59,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajkarmo Part 2 Class 11 & 12 Cover Page MP3,4,101.03,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Shamajkarmo Part-2 Class 11 & 12 Chapter 02 MP3,42,1141.36,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Shamajkarmo Part-2 Class 11 & 12 Chapter 03 MP3,150,4065.19,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajkarmo Part-2 Class 11 & 12 Chapter 05 MP3,38,1042.97,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Shamajkarmo Part-2 Class 11 & 12 Chapter 06 MP3,64,1744.61,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajkarmo Part-2 Class 11 & 12 Chapter 07 MP3,40,1003.17,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajkarmo Part-2 Class 11 & 12 Chapter 08 MP3,26,646.45,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Shamajkarmo Part-2 Class 11 & 12 Chapter 09 MP3,30,844.34,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajkarmo Part-2 Class 11 & 12 Chapter 4 MP3,43,1141.28,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shei Din Ei Math - Jibonanando Dash,3,61.23,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Shikkha O Monushshotto - Motaher Hossain Chawdhuri,7,158.72,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Shomoy Ghele Shadhon Hobe Na - Lalon Shah,5,104.62,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Shova,11,229.84,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shuk,3,64.94,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Shukher Laghiya - Ghan Dash,2,47.57,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Shuva - Rabindranath Tagor,19,436.29,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Tolpar,11,276.58,1,0,0,1,0,0,0,0,0
"collect/TalkingBook/Tomake Paoar Jonne, He Shadhinata-Shamsur Rahman",2,60,1,0,0,0,0,0,0,0,1
collect/TalkingBook/Tottho O Projukti - Muhammad Jafor Iqbal,8,188.2,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Uddom O Porisrom - Mohammad Lutfar Rahman,10,279.86,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Upekkito Shaktir Udbodhon - Kazi Nazrul Islam,5,147.72,1,0,0,0,0,0,0,1,0
collect/TalkingBook/bachte_dao,9,218.86,1,0,0,0,1,0,0,0,0
collect/TalkingBook/jhingeful,3,61.37,1,0,0,0,1,0,0,0,0
collect/TalkingBook/lal goruta,9,212.94,1,0,0,1,0,0,0,0,0
collect/TalkingBook/pakhir_kase_fuler_kase,5,108.65,1,0,0,0,1,0,0,0,0
