Folder,Total Files,Total Duration (sec),Target Samples,"Samples [0, 1)","Samples [1, 5)","Samples [5, 10)","Samples [10, 15)","Samples [15, 20)","Samples [20, 25)","Samples [25, 30)",Samples [30+)
collect/NCTB/KrishiShikkhaClass9,1653,8054.98,1,0,1,0,0,0,0,0,0
collect/NCTB/PouronitiONagorikotaClass9,268,1863.91,1,0,1,0,0,0,0,0,0
collect/NCTB/PrathamikGonitClass1,661,1787.68,1,1,0,0,0,0,0,0,0
collect/NCTB/PrathamikGonitClass2,627,2144.67,1,0,1,0,0,0,0,0,0
collect/NCTB/PrathamikGonitClass3,693,2994.23,1,0,1,0,0,0,0,0,0
collect/NCTB/PrathamikGonitClass4,901,4482.92,1,0,1,0,0,0,0,0,0
collect/NCTB/PrathamikGonitClass5,880,3905.17,1,0,1,0,0,0,0,0,0
collect/NCTB/PrathamikGonitClass8,19,189.17,1,0,1,0,0,0,0,0,0
collect/NCTB/ScienceAnushilonBookClass6,795,4129.31,1,0,1,0,0,0,0,0,0
collect/NCTB/ScienceAnushondhaniPathClass6,300,1797.28,1,0,1,0,0,0,0,0,0
collect/NCTB/ScienceAnushondhaniPathClass7,390,2034.48,1,0,1,0,0,0,0,0,0
collect/NCTB/ScienceClass8,1097,4885.15,1,0,1,0,0,0,0,0,0
collect/NCTB/ScienceClass9,1572,8628.58,1,0,1,0,0,0,0,0,0
collect/NCTB/SharirikhShikkhaOShasthaClass8,493,2179.31,1,0,1,0,0,0,0,0,0
collect/NCTB/SharirikhShikkhaOShasthaClass9,1082,5556.76,1,0,1,0,0,0,0,0,0
collect/NCTB/ShilpoAbongSanskritiClass6,242,1384.59,1,0,1,0,0,0,0,0,0
collect/NCTB/ShilpoAbongSanskritiClass7,163,807.38,1,0,1,0,0,0,0,0,0
collect/TalkingBook/1 Bangladesher Ridoy,3,76.25,1,0,0,0,0,0,1,0,0
collect/TalkingBook/1 Bolai,11,308.62,1,0,0,0,0,0,1,0,0
collect/TalkingBook/10 Bangladesher Khudra Jati Shatta,15,402.39,1,0,0,0,0,1,0,0,0
collect/TalkingBook/10 Eiakhre,4,115.05,1,0,0,0,0,0,0,1,0
collect/TalkingBook/10bangla noboborsho,8,222.23,1,0,0,0,0,0,1,0,0
collect/TalkingBook/10prarthi,3,81.83,1,0,0,0,0,0,1,0,0
collect/TalkingBook/11ekush,2,53.08,1,0,0,0,0,0,1,0,0
collect/TalkingBook/1manobdhormo,1,26.77,1,0,0,0,0,0,0,1,0
collect/TalkingBook/1otithi,14,390.06,1,0,0,0,0,0,1,0,0
collect/TalkingBook/2 Ananda,2,52.4,1,0,0,0,0,0,1,0,0
collect/TalkingBook/2 Library,4,90.72,1,0,0,0,1,0,0,0,0
collect/TalkingBook/2banglalir_bangla_golpo,8,218.05,1,0,0,0,0,0,1,0,0
collect/TalkingBook/2baongovumi er proti,9,196.98,1,0,1,0,0,0,0,0,0
collect/TalkingBook/3 Apurba,8,161.74,1,0,1,0,0,0,0,0,0
collect/TalkingBook/3 Mallodan,13,344.64,1,0,0,1,0,0,0,0,0
collect/TalkingBook/3dui_bigha,9,212.89,1,0,0,0,0,1,0,0,0
collect/TalkingBook/3porejaoa,9,247.36,1,0,0,0,0,0,1,0,0
collect/TalkingBook/4 Kuli Mujur,6,141.45,1,0,0,0,0,1,0,0,0
collect/TalkingBook/4 Lal Ghora,11,286.21,1,0,1,0,0,0,0,0,0
collect/TalkingBook/4pache_loke _kisu bole,3,62.58,1,0,0,0,0,1,0,0,0
collect/TalkingBook/4toilchitrer bhot,12,329.93,1,0,0,0,0,0,1,0,0
collect/TalkingBook/5 Bangabandhu,7,176.31,1,0,0,0,0,0,1,0,0
collect/TalkingBook/5 Lokha,7,176.7,1,0,0,1,0,0,0,0,0
collect/TalkingBook/5nari,6,149.81,1,0,0,0,0,1,0,0,0
collect/TalkingBook/5shongram,4,118.83,1,0,0,0,0,0,0,1,0
collect/TalkingBook/6 Mela,5,117.75,1,0,0,1,0,0,0,0,0
collect/TalkingBook/6 sobi rong,7,195.57,1,0,0,0,0,0,0,1,0
collect/TalkingBook/6abar_ashino fire,6,163.9,1,0,0,0,0,0,1,0,0
collect/TalkingBook/6lokshilpo,10,278.48,1,0,0,0,1,0,0,0,0
collect/TalkingBook/7 May Diner Kabita,2,60,1,0,0,0,0,0,0,0,1
collect/TalkingBook/7 Rokeya,3,78.03,1,0,0,0,0,1,0,0,0
collect/TalkingBook/7desh,4,75.19,1,0,0,0,1,0,0,0,0
collect/TalkingBook/7shukhi_manush,5,128.48,1,0,0,0,0,1,0,0,0
collect/TalkingBook/8 Shabdo Kabita,10,262.02,1,0,0,0,1,0,0,0,0
collect/TalkingBook/8 Upodesh,3,52.87,1,0,0,1,0,0,0,0,0
collect/TalkingBook/8nodi,5,116.58,1,0,0,0,0,1,0,0,0
collect/TalkingBook/8shilpokola,7,197.33,1,0,0,0,0,0,1,0,0
collect/TalkingBook/9 Shei chaleti,9,229.36,1,0,0,1,0,0,0,0,0
collect/TalkingBook/9 Sritishodho,5,136.71,1,0,0,0,0,1,0,0,0
collect/TalkingBook/9jago,8,196.39,1,0,0,1,0,0,0,0,0
collect/TalkingBook/9mongru,11,285.93,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Aaj Srishti-Sukher Ullashe-Kazi Nazrul Islam,11,260.86,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Aam-Atir Vepu - Bivutibhushan Bandopaddhay,13,342.61,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Abak Shurjodoy - Hasan Hafizur Rahman,5,120.55,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Akash,10,237.54,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Amader Sangskriti - Anisuzzaman,9,231.79,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Amar Desh - Sufiya Kamal,6,111.83,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Amar Porichoy - Sayed Shamsul Haque,12,330.29,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Amar Shantan - Varotchandro Raygunakar,5,112.4,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Ami Kono Aguntok Noi - Ahsan Habib,4,81.88,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Andho Bodhu - Jotindramohan Bagchi,3,71.61,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Asha - Sikandar Abu Jafor,5,116.25,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Avaghir Swargo - Sharatchandra Chattopaddhay,16,383.23,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Ban Manush - Abu Ishaq,13,356.76,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Bandh - Jahir Rayhan,8,195.68,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Bishaw Nabi Part 2,137,3277.13,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Bishaw Nobi Part 1,421,10261.44,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Boi Pora - Promath Chawdhuri,13,307.85,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Boishakh - Al Mahmud,3,57.19,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Brishti - Farrukh Ahmed,2,44.91,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Chapter 1,18,489.75,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Chapter 2,15,387,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Chapter 3,10,271.33,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Chapter 4,9,232.13,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Chapter 5,10,229.77,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Chuniya Amar Arkedia - Rafiq Azad,9,225.67,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Denapaona - Rabindranath Tagor,10,283.05,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Ekattarer Dinguli - Jahanara Imam,20,506.37,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Ekti Kafi - Bishnu Dey,2,18.43,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Fagun Mash,6,149.16,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Fuler Bibaho - Bongkimchandro Chattopaddhay,12,277.99,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Islamer Etihash O Sangskriti For Class 11 & 12 Chapter 1,39,1053.25,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Islamer Etihash O Sangskriti For Class 11 & 12 Chapter 2,97,2480.14,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Islamer Etihash O Sangskriti For Class 11 & 12 Chapter 3,130,3309.17,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Islamer Etihash O Sangskriti For Class 11 & 12 Chapter 4,100,2668.59,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Islamer Etihash O Sangskriti For Class 11 & 12 Chapter 5,121,3118.2,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Islamer Etihash O Sangskriti For Class 11 & 12 Chapter 6,24,671.81,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Islamer Etihash O Sangskriti For Class 11 & 12 Chapter 7,26,722.43,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Islamer Etihash O Sangskriti For Class 11 & 12 Cover Page,3,90,1,0,0,0,0,0,0,0,1
collect/TalkingBook/Islamer Itihash O Sangskriti Part-2 Cl 11&12 Cover MP3,4,120,1,0,0,0,0,0,0,0,1
collect/TalkingBook/Islamer Itihash O Sangskriti part-2 Chapter 02 MP3,143,3699.22,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Islamer Itihash O Sangskriti part-2 Chapter 03 MP3,231,5966.15,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Islamer Itihash O Sangskriti part-2 Chapter 04 MP3,77,2010.93,2,0,1,0,0,0,0,0,1
collect/TalkingBook/Islamer Itihash O Sangskriti part-2 Chapter 05 MP3,21,573.12,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Islamer Itihash O Sangskriti part-2 Chapter 06 MP3,33,898.9,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Islamer Itihash O Sanskriti part-2 Chapter 01 MP3,89,2291.85,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Janmo Vumi,5,86.82,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Jharnar Gan - Sottendranath Datta,3,76.32,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Jibon Sanghit - Hemchandro Bandopaddhay,5,120.65,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Jibone Shilper Sthan - S. Wazed Ali,10,276.78,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Juktibidya 1st Paper for Class 11 & 12 - Chapter 1,51,1357.8,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Juktibidya 1st Paper for Class 11 & 12 - Chapter 2,29,758.05,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Juktibidya 1st Paper for Class 11 & 12 - Chapter 3,85,2072.87,2,0,1,1,0,0,0,0,0
collect/TalkingBook/Juktibidya 1st Paper for Class 11 & 12 - Chapter 4,18,408.43,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Juktibidya 1st Paper for Class 11 & 12 - Chapter 5,20,508.33,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Juktibidya 1st Paper for Class 11 & 12 - Chapter 6,126,3171.24,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Juktibidya 1st Paper for Class 11 & 12 - Chapter 7,111,2848.51,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Juktibidya 1st Paper for Class 11 & 12 - Chapter 8,53,1280.13,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Juktibidya 1st Paper for Class 11 & 12 - Cover Page,13,338.58,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Juktibidya part-2 cl 11&12 Beboharik Kaz MP3,36,917.45,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Juktibidya part-2 cl 11&12 Chapter 01 MP3,22,602.65,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Juktibidya part-2 cl 11&12 Chapter 04 MP3,42,1162.16,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Juktibidya part-2 cl 11&12 Chapter 05 MP3,119,3202.07,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Juktibidya part-2 cl 11&12 Chapter 06 MP3,34,927.03,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Juktibidya part-2 cl 11&12 Chapter 07MP3,26,659.82,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Juktibidya part-2 cl 11&12 Chapter 08 MP3,34,863.5,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Juktibidya part-2cl 11&12 Chapter 02 MP3,27,739.57,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Juktibidya part-2cl 11&12 Chapter 03 MP3,92,2552.19,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Juktibidya part-2cl 11&12 Cover MP3,5,131.78,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Juta-Abishkar - Rabindranath Tagore,9,183.45,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Kapotakkho Nod - Mikel Modhusudan Datto,5,119.64,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Katodike Kato Karigor,10,256.24,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Katokal Dhore,10,249.27,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Khotiyan - Rudro Muhammad Shahidullah,3,68.65,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Library - Rabindranath Tagor,6,134.76,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Manush - Kazi Nazrul Islam,3,73.54,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Manush Muhammad (Sm.) - Mohammad Wazed Ali,9,239.61,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Minu,8,186.64,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Momotadi - Manik Bandopaddhay,12,326.21,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Mother Terisa,9,227.23,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Mujib,5,120.83,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Nimgach - Banoful,5,106.22,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Niriho Bangali - Rokeya Sakhawat Hossain,3,74.68,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Niyoti - Humayun Ahmed,7,188.37,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Omar Ekush,11,281.56,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Palamou - Shanjibchandro Chattopaddhay,14,377.07,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Payla Boishakh - Kabir Choudhury,8,217.47,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Polli Janoni - Jashim Uddin,7,157.4,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Pollishahitto - Muhammad Shahidullah,8,192.02,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Poster - Abul Hossain,2,15.99,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shooshashon for Class 11 & 12 P-1 Chapter 1,71,1949.85,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shooshashon for Class 11 & 12 P-1 Chapter 10,33,912.48,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shooshashon for Class 11 & 12 P-1 Chapter 2,19,531.43,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shooshashon for Class 11 & 12 P-1 Chapter 3,57,1623.35,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shooshashon for Class 11 & 12 P-1 Chapter 4,13,338.7,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shooshashon for Class 11 & 12 P-1 Chapter 5,47,1253.41,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shooshashon for Class 11 & 12 P-1 Chapter 6,47,1280.44,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Pouroniti O Shooshashon for Class 11 & 12 P-1 Chapter 7,159,4468.75,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shooshashon for Class 11 & 12 P-1 Chapter 8,23,655.73,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shooshashon for Class 11 & 12 P-1 Chapter 9,16,448.69,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Pouroniti O Shooshashon for Class 11 & 12 P-1 Cover Page,7,162.4,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shushashon Part-2 Class 11 & 12 Chapter 01,100,2638.88,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shushashon Part-2 Class 11 & 12 Chapter 02,69,1916.16,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shushashon Part-2 Class 11 & 12 Chapter 03,70,1920.64,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shushashon Part-2 Class 11 & 12 Chapter 04,65,1809.02,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shushashon Part-2 Class 11 & 12 Chapter 05,73,1953.41,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shushashon Part-2 Class 11 & 12 Chapter 06,37,963.31,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shushashon Part-2 Class 11 & 12 Chapter 07,20,579.2,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Pouroniti O Shushashon Part-2 Class 11 & 12 Chapter 08,32,899.76,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shushashon Part-2 Class 11 & 12 Chapter 09,56,1595.63,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shushashon Part-2 Class 11 & 12 Chapter 10,45,1148.81,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Pouroniti O Shushashon Part-2 Class 11 & 12 Cover Page,2,44.15,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Pran - Rabindranath Tagore,6,144.38,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Probash Bondhu - Sayed Mujtaba Ali,11,307.74,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Prottopakar - Ishwarchandra Bidya Sagor,7,190.24,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Rachi vromon,8,205.07,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Rahmaner Ma - Ranesh Dash Gupto,10,253.91,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Rokte Veza Ekush - Selina Hossain,9,246.01,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Runner - Sukanto Vattacharjo,2,56.48,1,0,0,0,0,0,0,1,0
collect/TalkingBook/Sankota Dulche - Sunil Gongopaddhay,6,171.63,1,0,0,0,0,0,0,1,0
collect/TalkingBook/Sayabaji - Sukumar Roy,1,30,1,0,0,0,0,0,0,0,1
collect/TalkingBook/Shadhinata - Rangolal Bandopaddhay,6,140.4,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Shadhinata Amar Shadhinata-Mamotajuddin Ahmad,12,318.4,1,0,0,0,0,0,1,0,0
"collect/TalkingBook/Shadhinata, A Shabdoti Kivabe Amader Holo - Nirmalendu Gun",7,171.68,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Shahitter Roop  O Riti-Hayat Mahmud,19,497.42,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Shahoshi Janoni Bangla - Kamal Chawdhury,7,161.91,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Shamajbiggan Part-2 Class 11 & 12 Chapter 01 MP3,68,1754.16,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajbiggan Part-2 Class 11 & 12 Chapter 03 MP3,26,677.72,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajbiggan Part-2 Class 11 & 12 Chapter 04 MP3,12,323.73,1,0,0,0,0,0,1,0,0
collect/TalkingBook/Shamajbiggan Part-2 Class 11 & 12 Chapter 05 MP3,40,1019.4,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajbiggan Part-2 Class 11 & 12 Chapter 06 MP3,37,1020.78,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Shamajbiggan Part-2 Class 11 & 12 Chapter 07 MP3,29,785.5,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Shamajbiggan Part-2 Class 11 & 12 Chapter 08 MP3,41,1065.38,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Shamajbiggan Part-2 Class 11 & 12 Chapter 09 MP3,61,1620.98,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajbiggan Part-2 Class 11 & 12 Cover MP3,4,120,1,0,0,0,0,0,0,0,1
collect/TalkingBook/Shamajbiggan Part-2 Class 11 & 12- Chapter 10 MP3,128,3544.2,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Shamajbiggan Part-2 Class 11 & 12Chapter 02 MP3,14,358.18,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Shamajbiggan Part-2 Class 11&12 Chapter 11 MP3,25,675.77,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Shamajbigyan 1st Paper for  Class 11 & 12 -  Chapter 10 MP3,78,2181.34,2,0,1,0,0,0,0,0,1
collect/TalkingBook/Shamajbigyan 1st Paper for  Class 11 & 12 - Chapter 11 MP3,36,992.28,1,0,0,1,0,0,0,0,0
collect/TalkingBook/Shamajbigyan 1st Paper for Class 11 & 12 - Chapter - 2 MP3,14,373,1,0,0,0,0,1,0,0,0
collect/TalkingBook/Shamajbigyan 1st Paper for Class 11 & 12 - Chapter 1 MP3,67,1808.86,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajbigyan 1st Paper for Class 11 & 12 - Chapter 3 MP3,44,1165.14,1,0,1,0,0,0,0,0,0
collect/TalkingBook/Shamajbigyan 1st Paper for Class 11 & 12 - Chapter 4 MP3,89,2455.85,1,0,0,0,1,0,0,0,0
collect/TalkingBook/Shamajbigyan 1st Paper for Class 11 & 12 - Chapter 5 MP3,41,1044.36,1,0,0,0,1,0,0,0,0
